t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
2140.0,0.000000,1,0.0000,45.00,-45.0000
2150.0,0.000000,1,0.0000,45.00,-45.0000
2160.0,0.000000,1,0.0000,45.00,-45.0000
2170.0,0.000000,1,0.0000,45.00,-45.0000
2180.0,0.000000,1,0.0000,45.00,-45.0000
2190.0,0.000000,1,0.0000,45.00,-45.0000
2200.0,0.000000,1,0.0000,45.00,-45.0000
2210.0,0.000000,1,0.0000,45.00,-45.0000
2220.0,0.000000,1,0.0000,45.00,-45.0000
2230.0,0.000000,1,0.0000,45.00,-45.0000
2240.0,0.000000,1,0.0000,45.00,-45.0000
2250.0,0.000000,1,0.0000,45.00,-45.0000
2260.0,0.000000,1,0.0000,45.00,-45.0000
2270.0,0.000000,1,0.0000,45.00,-45.0000
2280.0,0.000000,1,0.0000,45.00,-45.0000
2290.0,0.000000,1,0.0000,45.00,-45.0000
2300.0,0.000000,1,0.0000,45.00,-45.0000
2310.0,0.000000,1,0.0000,45.00,-45.0000
2320.0,0.000000,1,0.0000,45.00,-45.0000
2330.0,0.000000,1,0.0000,45.00,-45.0000
2340.0,0.000000,1,0.0000,45.00,-45.0000
2350.0,0.000000,1,0.0000,45.00,-45.0000
2360.0,0.000000,1,0.0000,45.00,-45.0000
2370.0,0.000000,1,0.0000,45.00,-45.0000
2380.0,0.000000,1,0.0000,45.00,-45.0000
2390.0,0.000000,1,0.0000,45.00,-45.0000
2400.0,0.000000,1,0.0000,45.00,-45.0000
2410.0,0.000000,1,0.0000,45.00,-45.0000
2420.0,0.000000,1,0.0000,45.00,-45.0000
2430.0,0.000000,1,0.0000,45.00,-45.0000
2440.0,0.000000,1,0.0000,45.00,-45.0000
2450.0,0.000000,1,0.0000,45.00,-45.0000
2460.0,0.000000,1,0.0000,45.00,-45.0000
2470.0,0.000000,1,0.0000,45.00,-45.0000
2480.0,0.000000,1,0.0000,45.00,-45.0000
2490.0,0.000000,1,0.0000,45.00,-45.0000
2500.0,0.000000,1,0.0000,45.00,-45.0000
2510.0,0.000000,1,0.0000,45.00,-45.0000
2520.0,0.000000,1,0.0000,45.00,-45.0000
2530.0,0.000000,1,0.0000,45.00,-45.0000
2540.0,0.000000,1,0.0000,45.00,-45.0000
2550.0,0.000000,1,0.0000,45.00,-45.0000
2560.0,0.000000,1,0.0000,45.00,-45.0000
2570.0,0.000000,1,0.0000,45.00,-45.0000
2580.0,0.000000,1,0.0000,45.00,-45.0000
2590.0,0.000000,1,0.0000,45.00,-45.0000
2600.0,0.000000,1,0.0000,45.00,-45.0000
2610.0,0.000000,1,0.0000,45.00,-45.0000
2620.0,0.000000,1,0.0000,45.00,-45.0000
