t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
4670.0,1.000000,0,531.6698,45.00,486.6698
4680.0,1.000000,0,532.3930,45.00,487.3930
4690.0,1.000000,0,533.1289,45.00,488.1289
4700.0,1.000000,0,533.8772,45.00,488.8772
4710.0,1.000000,0,534.6375,45.00,489.6375
4720.0,1.000000,0,535.4093,45.00,490.4093
4730.0,1.000000,0,536.1923,45.00,491.1923
4740.0,1.000000,0,536.9859,45.00,491.9859
4750.0,1.000000,0,537.7898,45.00,492.7898
4760.0,1.000000,0,538.6036,45.00,493.6036
4770.0,1.000000,0,539.4268,45.00,494.4268
4780.0,1.000000,0,540.2589,45.00,495.2589
4790.0,1.000000,0,541.0996,45.00,496.0996
4800.0,1.000000,0,541.9484,45.00,496.9484
4810.0,1.000000,0,542.8049,45.00,497.8049
4820.0,1.000000,0,543.6685,45.00,498.6685
4830.0,1.000000,0,544.5389,45.00,499.5389
4840.0,1.000000,0,545.4157,45.00,500.4157
4850.0,1.000000,0,546.2983,45.00,501.2983
4860.0,1.000000,0,547.1863,45.00,502.1863
4870.0,1.000000,0,548.0793,45.00,503.0793
4880.0,1.000000,0,548.9768,45.00,503.9768
4890.0,1.000000,0,549.8784,45.00,504.8784
4900.0,1.000000,0,550.7836,45.00,505.7836
4910.0,1.000000,0,551.6920,45.00,506.6920
4920.0,1.000000,0,552.6031,45.00,507.6031
4930.0,1.000000,0,553.5164,45.00,508.5164
4940.0,1.000000,0,554.4316,45.00,509.4316
4950.0,1.000000,0,555.3482,45.00,510.3482
4960.0,1.000000,0,556.2657,45.00,511.2657
4970.0,1.000000,0,557.1836,45.00,512.1836
4980.0,1.000000,0,558.1017,45.00,513.1017
4990.0,1.000000,0,559.0193,45.00,514.0193
5000.0,1.000000,0,559.9362,45.00,514.9362
5010.0,1.000000,0,560.8517,45.00,515.8517
5020.0,1.000000,0,561.7656,45.00,516.7656
5030.0,1.000000,0,562.6774,45.00,517.6774
5040.0,1.000000,0,563.5866,45.00,518.5866
5050.0,1.000000,0,564.4929,45.00,519.4929
5060.0,1.000000,0,565.3958,45.00,520.3958
5070.0,1.000000,0,566.2949,45.00,521.2949
5080.0,1.000000,0,567.1898,45.00,522.1898
5090.0,1.000000,0,568.0801,45.00,523.0801
5100.0,1.000000,0,568.9654,45.00,523.9654
5110.0,1.000000,0,569.8452,45.00,524.8452
5120.0,1.000000,0,570.7193,45.00,525.7193
5130.0,1.000000,0,571.5872,45.00,526.5872
5140.0,1.000000,0,572.4484,45.00,527.4484
5150.0,1.000000,0,573.3027,45.00,528.3027
5160.0,1.000000,0,574.1497,45.00,529.1497
5170.0,1.000000,0,574.9890,45.00,529.9890
5180.0,1.000000,0,575.8201,45.00,530.8201
5190.0,1.000000,0,576.6428,45.00,531.6428
5200.0,1.000000,0,577.4568,45.00,532.4568
5210.0,1.000000,0,578.2616,45.00,533.2616
5220.0,1.000000,0,579.0568,45.00,534.0568
5230.0,1.000000,0,579.8423,45.00,534.8423
5240.0,1.000000,0,580.6176,45.00,535.6176
5250.0,1.000000,0,581.3823,45.00,536.3823
5260.0,1.000000,0,582.1363,45.00,537.1363
5270.0,1.000000,0,582.8791,45.00,537.8791
5280.0,1.000000,0,583.6105,45.00,538.6105
5290.0,1.000000,0,584.3300,45.00,539.3300
5300.0,1.000000,0,585.0376,45.00,540.0376
