t_s,nu,eclipsed,p_gen_w,p_house_w,p_surplus_w
2960.0,0.000000,1,0.0000,45.00,-45.0000
2970.0,0.000000,1,0.0000,45.00,-45.0000
2980.0,0.000000,1,0.0000,45.00,-45.0000
2990.0,0.000000,1,0.0000,45.00,-45.0000
3000.0,0.000000,1,0.0000,45.00,-45.0000
3010.0,0.000000,1,0.0000,45.00,-45.0000
3020.0,0.000000,1,0.0000,45.00,-45.0000
3030.0,0.000000,1,0.0000,45.00,-45.0000
3040.0,0.000000,1,0.0000,45.00,-45.0000
3050.0,0.000000,1,0.0000,45.00,-45.0000
3060.0,0.000000,1,0.0000,45.00,-45.0000
3070.0,0.000000,1,0.0000,45.00,-45.0000
3080.0,0.000000,1,0.0000,45.00,-45.0000
3090.0,0.000000,1,0.0000,45.00,-45.0000
3100.0,0.000000,1,0.0000,45.00,-45.0000
3110.0,0.000000,1,0.0000,45.00,-45.0000
3120.0,0.000000,1,0.0000,45.00,-45.0000
3130.0,0.000000,1,0.0000,45.00,-45.0000
3140.0,0.000000,1,0.0000,45.00,-45.0000
3150.0,0.000000,1,0.0000,45.00,-45.0000
3160.0,0.000000,1,0.0000,45.00,-45.0000
3170.0,0.000000,1,0.0000,45.00,-45.0000
3180.0,0.000000,1,0.0000,45.00,-45.0000
3190.0,0.000000,1,0.0000,45.00,-45.0000
3200.0,0.000000,1,0.0000,45.00,-45.0000
3210.0,0.000000,1,0.0000,45.00,-45.0000
3220.0,0.000000,1,0.0000,45.00,-45.0000
3230.0,0.000000,1,0.0000,45.00,-45.0000
3240.0,0.000000,1,0.0000,45.00,-45.0000
3250.0,0.000000,1,0.0000,45.00,-45.0000
3260.0,0.000000,1,0.0000,45.00,-45.0000
3270.0,0.000000,1,0.0000,45.00,-45.0000
3280.0,0.000000,1,0.0000,45.00,-45.0000
3290.0,0.000000,1,0.0000,45.00,-45.0000
3300.0,0.000000,1,0.0000,45.00,-45.0000
3310.0,0.000000,1,0.0000,45.00,-45.0000
3320.0,0.000000,1,0.0000,45.00,-45.0000
3330.0,0.000000,1,0.0000,45.00,-45.0000
3340.0,0.000000,1,0.0000,45.00,-45.0000
3350.0,0.000000,1,0.0000,45.00,-45.0000
3360.0,0.000000,1,0.0000,45.00,-45.0000
3370.0,0.000000,1,0.0000,45.00,-45.0000
3380.0,0.000000,1,0.0000,45.00,-45.0000
3390.0,0.000000,1,0.0000,45.00,-45.0000
3400.0,0.000000,1,0.0000,45.00,-45.0000
3410.0,0.000000,1,0.0000,45.00,-45.0000
3420.0,0.000000,1,0.0000,45.00,-45.0000
3430.0,0.000000,1,0.0000,45.00,-45.0000
3440.0,0.000000,1,0.0000,45.00,-45.0000
3450.0,0.000000,1,0.0000,45.00,-45.0000
3460.0,0.000000,1,0.0000,45.00,-45.0000
3470.0,0.000000,1,0.0000,45.00,-45.0000
3480.0,0.000000,1,0.0000,45.00,-45.0000
3490.0,0.000000,1,0.0000,45.00,-45.0000
3500.0,0.000000,1,0.0000,45.00,-45.0000
3510.0,0.000000,1,0.0000,45.00,-45.0000
3520.0,0.380631,1,217.5321,45.00,172.5321
3530.0,1.000000,0,571.5042,45.00,526.5042
3540.0,1.000000,0,571.5042,45.00,526.5042
3550.0,1.000000,0,571.5042,45.00,526.5042
